globalId;questionCode;answerCode;answerSummary;effectId;groupLabel;effectAction;reasoning_DE;relevantVariable1;includedRange1;excludedRange1;relevantVariable2;includedRange2;excludedRange2;scoreChange;condition;answer1;answer2;formulierung1
47;limZPSt;ja;Die meisten Studierenden haben eingeschränkte Zeitpläne.;4;Formate mit einer verpflichtenden Präsenzkomponente, bei dem Studierende oft synchron-online teilnehmen könnten ;empfohlen;Die Option einer online Teilnhame kann (z.B. durch die Minimierung des Pendelns) mehr Flexibilität für Studierende anbieten, die einen begrenzten Zeitplan haben;1;onlpraeswechs, hybpraeswechs;-;-;-;-;1;true;;Sie haben angegeben, dass die meisten Studierenden eingeschränkte Zeitpläne haben.;Laut Ihren Angaben passt Szenario XYZ als Formate mit einer verpflichtenden Präsenzkomponente, bei dem Studierende oft synchron-online teilnehmen könnten, nicht optimal, weil Die Option einer online Teilnhame kann (z.B. durch die Minimierung des Pendelns) mehr Flexibilität für Studierende anbieten, die einen begrenzten Zeitplan haben.
48;limZPSt;idk;noEffect;noEffect;-;-;-;-;-;-;-;-;-;-;-;;Sie haben angegeben, dass Sie sich nicht sicher sind, ob die Studierenden eingeschränkte Zeitpläne haben.;noEffect
49;onlZugang;nein;Nicht alle Studierenden haben außerhalb des Lehrraums Zugang zu einem geeigneten Gerät oder einer Umgebung.;0;Option mit einem verpflichtenden Online-Anteil;ausgeschlossen;Studierende, die nicht in der Lage sind, an Sitzungen via Webkonferenz teilnzunehmen, wären von manchen Kurskomponenten komplett ausgeschlossen;1;onl, ringonl, praesonlwechs, onlpraeswechs, onlhybwechs;-;3;-;3, 4;-100;true;;Sie haben angegeben, dass manche Studierende keinen Zugang  zu einem geeigneten Gerät oder einer Umgebung außerhalb des Lehrraums für Online-Lernen  haben.;Laut Ihren Angaben passt Szenario XYZ als Option mit einem verpflichtenden Online-Anteil, nicht optimal, weil Studierende, die nicht in der Lage sind, an Sitzungen via Webkonferenz teilnzunehmen, wären von manchen Kurskomponenten komplett ausgeschlossen.
50;onlZugang;nein;Nicht alle Studierenden haben außerhalb des Lehrraums Zugang zu einem geeigneten Gerät oder einer Umgebung.;1;Option mit einem großen verpflichtenden Online-Anteil;nicht geeignet;Studierende, die nicht in der Lage sind, an Sitzungen via Webkonferenz teilnzunehmen, wären bei manchen synchronen Kurskomponenten benachteiligt, auch wenn eine asynchrone Teilnahmealternative entsteht;1;onl, ringonl, onlpraeswechs, onlhybwechs;;3;3, 4;-;-3;true;;Sie haben angegeben, dass manche Studierende keinen Zugang  zu einem geeigneten Gerät oder einer Umgebung außerhalb des Lehrraums für Online-Lernen  haben.;Laut Ihren Angaben passt Szenario XYZ als Option mit einem großen verpflichtenden Online-Anteil, nicht optimal, weil Studierende, die nicht in der Lage sind, an Sitzungen via Webkonferenz teilnzunehmen, wären bei manchen synchronen Kurskomponenten benachteiligt, auch wenn eine asynchrone Teilnahmealternative entsteht.
51;onlZugang;nein;Nicht alle Studierenden haben außerhalb des Lehrraums Zugang zu einem geeigneten Gerät oder einer Umgebung.;2;Option mit einem kleineren verpflichtenden Online-Anteil;nicht empfohlen;Studierende, die nicht in der Lage sind, an Sitzungen via Webkonferenz teilnzunehmen, wären bei einigen synchronen Kurskomponenten benachteiligt, auch wenn eine asynchrone Teilnahmealternative entsteht;1;praesonlwechs, grwechs;;3;3, 4;-;-2;true;;Sie haben angegeben, dass manche Studierende keinen Zugang  zu einem geeigneten Gerät oder einer Umgebung außerhalb des Lehrraums für Online-Lernen  haben.;Laut Ihren Angaben passt Szenario XYZ als Option mit einem kleineren verpflichtenden Online-Anteil, nicht optimal, weil Studierende, die nicht in der Lage sind, an Sitzungen via Webkonferenz teilnzunehmen, wären bei einigen synchronen Kurskomponenten benachteiligt, auch wenn eine asynchrone Teilnahmealternative entsteht.
52;onlZugang;idk;Sie sind sich nicht sicher, ob alle Studierenden Zugang zu einem geeigneten Gerät oder einer Umgebung für Online-Teilnahme haben.;0;Option mit einem großen verpflichtenden Online-Anteil;nicht geeignet;Falls es Studierende gibt, die nicht in der Lage sind, an Sitzungen via Webkonferenz teilnzunehmen, wären diese Studierenden von manchen Kurskomponenten komplett ausgeschlossen;1;onl, ringonl, onlpraeswechs, onlhybwechs;-;3;-;3, 4;-3;true;;Sie haben angegeben, dass Sie sich nicht sicher sind, ob alle Studierenden Zugang  zu einem geeigneten Gerät oder einer Umgebung außerhalb des Lehrraums für Online-Lernen  haben.;Laut Ihren Angaben passt Szenario XYZ als Option mit einem großen verpflichtenden Online-Anteil, nicht optimal, weil Falls es Studierende gibt, die nicht in der Lage sind, an Sitzungen via Webkonferenz teilnzunehmen, wären diese Studierenden von manchen Kurskomponenten komplett ausgeschlossen.
53;onlZugang;idk;Sie sind sich nicht sicher, ob die Studierenden Zugang.;1;Option mit einem kleineren verpflichtenden Online-Anteil;nicht empfohlen;Falls es Studierende gibt, die nicht in der Lage sind, an Sitzungen via Webkonferenz teilnzunehmen, wären diese Studierenden von manchen Kurskomponenten komplett ausgeschlossen;1;praesonlwechs, grwechs;-;3;-;3, 4;-2;true;;Sie haben angegeben, dass Sie sich nicht sicher sind, ob alle Studierenden Zugang  zu einem geeigneten Gerät oder einer Umgebung außerhalb des Lehrraums für Online-Lernen  haben.;Laut Ihren Angaben passt Szenario XYZ als Option mit einem kleineren verpflichtenden Online-Anteil, nicht optimal, weil Falls es Studierende gibt, die nicht in der Lage sind, an Sitzungen via Webkonferenz teilnzunehmen, wären diese Studierenden von manchen Kurskomponenten komplett ausgeschlossen.
54;onlZugang;idk;Sie sind sich nicht sicher, ob die Studierenden Zugang.;2;Option mit einem großen verpflichtenden Online-Anteil;nicht empfohlen;Falls es Studierende gibt, die nicht in der Lage sind, an Sitzungen via Webkonferenz teilnzunehmen, wären diese Studierenden bei einigen synchronen Kurskomponenten benachteiligt, auch wenn eine asynchrone Teilnahmealternative entsteht;1;onl, ringonl, onlpraeswechs, onlhybwechs;-;3;3, 4;-;-2;true;;Sie haben angegeben, dass Sie sich nicht sicher sind, ob alle Studierenden Zugang  zu einem geeigneten Gerät oder einer Umgebung außerhalb des Lehrraums für Online-Lernen  haben.;Laut Ihren Angaben passt Szenario XYZ als Option mit einem großen verpflichtenden Online-Anteil, nicht optimal, weil Falls es Studierende gibt, die nicht in der Lage sind, an Sitzungen via Webkonferenz teilnzunehmen, wären diese Studierenden bei einigen synchronen Kurskomponenten benachteiligt, auch wenn eine asynchrone Teilnahmealternative entsteht.
55;onlZugang;idk;Sie sind sich nicht sicher, ob die Studierenden Zugang.;3;Option mit einem kleineren verpflichtenden Online-Anteil;nicht ideal;Falls es Studierende gibt, die nicht in der Lage sind, an Sitzungen via Webkonferenz teilnzunehmen, wären diese Studierenden  bei einigen synchronen Kurskomponenten benachteiligt, auch wenn eine asynchrone Teilnahmealternative entsteht;1;praesonlwechs, grwechs;-;3;3, 4;-;-1;true;;Sie haben angegeben, dass Sie sich nicht sicher sind, ob alle Studierenden Zugang  zu einem geeigneten Gerät oder einer Umgebung außerhalb des Lehrraums für Online-Lernen  haben.;Laut Ihren Angaben passt Szenario XYZ als Option mit einem kleineren verpflichtenden Online-Anteil, nicht optimal, weil Falls es Studierende gibt, die nicht in der Lage sind, an Sitzungen via Webkonferenz teilnzunehmen, wären diese Studierenden bei einigen synchronen Kurskomponenten benachteiligt, auch wenn eine asynchrone Teilnahmealternative entsteht.
56;onlZugang;ja;Alle Studierenden haben außerhalb des Lehrraums Zugang.;noEffect;-;-;-;-;-;-;-;-;-;-;-;;Sie haben angegeben, dass alle Studierenden  Zugang  zu einem geeigneten Gerät oder einer Umgebung außerhalb des Lehrraums für Online-Lernen  haben.;Laut Ihren Angaben passt Szenario XYZ als -, nicht optimal, weil -.
57;IntAsync;0; informelle Kommunikation und Austausch zwischen Studierenden ist ausreichend für die Lernziele Ihres Kurses;0;Format mit keiner Strukturierung der asynchronen Interaktion;empfohlen;die Lehrperson will den Studierenden die Entscheidung überlassen, wie sie außerhalb der Kurssitzungen interagieren;4;0;-;-;-;-;1;true;;Sie haben angegeben, dass der informelle Austausch zwischen Studierenden ausreichend für die Lernziele Ihres Kurses ist.;Laut Ihren Angaben passt Szenario XYZ als Format mit keiner Strukturierung der asynchronen Interaktion, nicht optimal, weil die Lehrperson will den Studierenden die Entscheidung überlassen, wie sie außerhalb der Kurssitzungen interagieren.
58;IntAsync;0; informelle Kommunikation und Austausch zwischen Studierenden ist ausreichend für die Lernziele Ihres Kurses;1;Format mit Anforderung an asynchrone Interaktion und Strukturierung davon;ausgeschlossen;die Lehrperson will nicht vorschreiben, wie die Studierenden außerhalb der Kurssitzungen interagieren;4;2;-;-;-;-;-100;true;;Sie haben angegeben, dass der informelle Austausch zwischen Studierenden ausreichend für die Lernziele Ihres Kurses ist.;Laut Ihren Angaben passt Szenario XYZ als Format mit Anforderung an asynchrone Interaktion und Strukturierung davon, nicht optimal, weil die Lehrperson will nicht vorschreiben, wie die Studierenden außerhalb der Kurssitzungen interagieren.
59;IntAsync;1;Regelmäßiger asynchroner Austausch zwischen Studierenden über die Kursinhalte ist gewünscht;0;Format mit optionalen Ressourcen für  asynchrone Interaktion;empfohlen;Durch die Bereitstellung von Kanälen für asynchrone Interaktion unterstützt die Lehrperson die Studierenden, miteinander zu interagieren, aber ohne Benachteiligung, wenn sie diese Kanäle nicht nutzen;4;1;-;-;-;-;1;true;;Sie haben angegeben, dass regelmäßiger asynchroner Austausch zwischen Studierenden über die Kursinhalte gewünscht ist;Laut Ihren Angaben passt Szenario XYZ als Format mit optionalen Ressourcen für asynchrone Interaktion, nicht optimal, weil Durch die Bereitstellung von Kanälen für asynchrone Interaktion unterstützt die Lehrperson die Studierenden, miteinander zu interagieren, aber ohne Benachteiligung, wenn sie diese Kanäle nicht nutzen.
60;IntAsync;1;Regelmäßiger asynchroner Austausch zwischen Studierenden über die Kursinhalte ist gewünscht;1;Formate ohne strukturierte Ressourcen für asynchrone Interaktion;ausgeschlossen;wenn asynchrone Interaktion zwischen Studierenden gewünscht ist, dann sollte im Kurs eine Strukturierung davon existieren;4;0;-;-;-;-;-100;true;;Sie haben angegeben, dass regelmäßiger asynchroner Austausch zwischen Studierenden über die Kursinhalte gewünscht ist;Laut Ihren Angaben passt Szenario XYZ als Formate ohne strukturierte Ressourcen für asynchrone Interaktion, nicht optimal, weil wenn asynchrone Interaktion zwischen Studierenden gewünscht ist, dann sollte im Kurs eine Strukturierung davon existieren.
61;IntAsync;2;Regelmäßiger und strukturierter asynchroner Austausch zwischen Studierenden über die Kursinhalte ist notwendig;0;Format mit Strukturen und Anreizen für asynchrone Interaktion;empfohlen;Durch die Bereitstellung von Kanälen für asynchrone Kommunikation und die Schaffung von Anreizen für die Studierenden, diese zu nutzen, motiviert die Lehrperson alle Studierenden, miteinander außerhalb der Kurssitzungen auszutauschen;4;2;-;-;-;-;1;true;;Sie haben angegeben, dass regelmäßiger, strukturierter asynchroner Austausch zwischen Studierenden über die Kursinhalte notwendig ist;Laut Ihren Angaben passt Szenario XYZ als Format mit Strukturen und Anreizen für asynchrone Interaktion, nicht optimal, weil Durch die Bereitstellung von Kanälen für asynchrone Kommunikation und die Schaffung von Anreizen für die Studierenden, diese zu nutzen, motiviert die Lehrperson alle Studierenden, miteinander außerhalb der Kurssitzungen auszutauschen.
62;IntAsync;2;Regelmäßiger und strukturierter asynchroner Austausch zwischen Studierenden über die Kursinhalte ist notwendig;1;Formate ohne strukturierte Ressourcen für asynchrone Interaktion;ausgeschlossen;wenn asynchrone Interaktion zwischen Studierenden notwendig ist, dann muss im Kurs eine Strukturierung davon existieren;4;0;-;-;-;-;-100;true;;Sie haben angegeben, dass regelmäßiger, strukturierter asynchroner Austausch zwischen Studierenden über die Kursinhalte notwendig ist;Laut Ihren Angaben passt Szenario XYZ als Formate ohne strukturierte Ressourcen für asynchrone Interaktion, nicht optimal, weil wenn asynchrone Interaktion zwischen Studierenden notwendig ist, dann muss im Kurs eine Strukturierung davon existieren.
63;gaeste;0;Sie möchten keine Gastvortragenden einladen.;0;Ringvorlesung;ausgeschlossen;noShow;1;ringpraes, ringonl, ringhyb1, ringhyb2;-;-;-;-;-100;true;;Sie haben angegeben, dass Sie keine Gastvortragenden einladen möchten.;noShow
64;gaeste;1;Sie möchten ab und zu Gastvortragende einladen.;0;Ringvorlesung;ausgeschlossen;noShow;1;ringpraes, ringonl, ringhyb1, ringhyb2;-;-;-;-;-100;true;;Sie haben angegeben, dass Sie ab und zu Gastvortragende einladen möchten.;noShow
65;gaeste;2;Sie möchten regelmäßig Gastvortragende einladen.;1;Keine Ringvorlesung;ausgeschlossen;noShow;1;-;ringpraes, ringonl, ringhyb1, ringhyb2;-;-;-;-100;true;;Sie haben angegeben, dass Sie regelmäßig Gastvortragende einladen möchten.;noShow
66;gaesteMittel;nein;Sie verfügen nicht über ausreichende Ressourcen, um Gastvortragende persönlich einzuladen.;0;Rein-Präsenzringvorlesung;ausgeschlossen;die Gäste können zur Präsezringvorlesung nicht eingeladen werden;1;ringpraes, ringonl, ringhyb1, ringhyb2;-;-;-;-;-100;true;;Sie haben angegeben, dass Sie nicht über ausreichende Ressourcen verfügen, um Gastvortragende persönlich einzuladen.;Laut Ihren Angaben passt Szenario XYZ als Rein-Präsenzringvorlesung, nicht optimal, weil die Gäste können zur Präsezringvorlesung nicht eingeladen werden.
67;gaesteMittel;nein;Sie verfügen nicht über ausreichende Ressourcen, um Gastvortragende persönlich einzuladen.;1;Ringvorlesung mit Online-Zuschaltung von Gästen;begünstigt;die Gäste können sich online zuschalten, auch wenn es keine Mittel gibt, sie persönlich einzuladen;1;ringonl, ringhyb1, ringhyb2;-;-;-;-;1;true;;Sie haben angegeben, dass Sie nicht über ausreichende Ressourcen verfügen, um Gastvortragende persönlich einzuladen.;Laut Ihren Angaben passt Szenario XYZ als Ringvorlesung mit Online-Zuschaltung von Gästen, nicht optimal, weil die Gäste können sich online zuschalten, auch wenn es keine Mittel gibt, sie persönlich einzuladen.
68;gaesteMittel;ja;Sie verfügen über ausreichende Ressourcen, um Gastvortragende persönlich einzuladen.;0;Ringvorlesung mit vor Ort Anwesenheit von Gästen;begünstigt;die Gäste können vor Ort teilnehmen und Studierende persönlicher kennenlernen;1;ringpraes, ringhyb2;-;-;-;-;1;true;;Sie haben angegeben, dass Sie über ausreichende Ressourcen verfügen, um Gastvortragende persönlich einzuladen.;Laut Ihren Angaben passt Szenario XYZ als Ringvorlesung mit vor Ort Anwesenheit von Gästen, nicht optimal, weil die Gäste können vor Ort teilnehmen und Studierende persönlicher kennenlernen.
69;exkur;nein;noEffect;noEffect;-;-;-;-;-;-;-;-;-;-;-;;Sie haben angegeben, dass keine Exkursionen als fester Bestandteil des Kurses geplant sind.;noEffect
70;exkur;ja;Exkursionen sind als fester Bestandteil des Kurses geplant.;0;rein-online Option;ausgeschlossen;keine Exkursion an einem anderen Standort kann online stattfinden;1;onl, ringonl, async;-;-;-;-;-;true;;Sie haben angegeben, dass Exkursionen als fester Bestandteil des Kurses geplant sind.;Laut Ihren Angaben passt Szenario XYZ als rein-online Option, nicht optimal, weil keine Exkursion an einem anderen Standort kann online stattfinden.
71;exkurMittel;nein;Nicht ausreichende Ressourcen sind vorhanden, damit alle Studierenden an einer Exkursion teilnehmen können.;0;Format bei dem eine Exkursion zwingend in Präsenz stattfinden würde;ausgeschlossen;;1;praes, ringpraes;-;-;-;-;-100;true;;Sie haben angegeben, dass nicht ausreichende Ressourcen vorhanden sind, damit alle Studierenden an einer Exkursion teilnehmen können.;Laut Ihren Angaben passt Szenario XYZ als Format bei dem eine Exkursion zwingend in Präsenz stattfinden würde, nicht optimal, weil nan.
72;exkurMittel;nein;Nicht ausreichende Ressourcen sind vorhanden, damit alle Studierenden an einer Exkursion teilnehmen können.;1;Format bei dem eine Exkursion hybrid stattfinden könnte;sehr empfohlen;mit einer gut geplanten hybriden Durchführung der Exkursion können alle Studierenden von einer Exkursion profitieren, auch wenn nur ein Teil von ihnen einen Ort persönlich besucht.;1;hyb, onlhybwechs, praeshybwechs, hybrem, ringhyb2, hybpraeswechs;-;-;-;-;2;true;;Sie haben angegeben, dass nicht ausreichende Ressourcen vorhanden sind, damit alle Studierenden an einer Exkursion teilnehmen können.;Laut Ihren Angaben passt Szenario XYZ als Format bei dem eine Exkursion hybrid stattfinden könnte, nicht optimal, weil mit einer gut geplanten hybriden Durchführung der Exkursion können alle Studierenden von einer Exkursion profitieren, auch wenn nur ein Teil von ihnen einen Ort persönlich besucht..
73;exkurMittel;ja;Ausreichende Ressourcen sind vorhanden, damit alle Studierenden an einer Exkursion teilnehmen können.;0;Format bei dem eine Exkursion für alle in Präsenz stattfinden würde;sehr empfohlen;wenn die Bedingungen ausreichend für eine Präsenzteilnahme von allen an einer Exkursion, dann wird ein Format mit einer Präsenzkomponente für alle empfohlen;1;praes, onlpraeswechs, ringhyb1, ringpraes, hybpraeswechs;-;-;-;-;2;true;;Sie haben angegeben, dass ausreichende Ressourcen vorhanden sind, damit alle Studierenden an einer Exkursion teilnehmen können.;Laut Ihren Angaben passt Szenario XYZ als Format bei dem eine Exkursion für alle in Präsenz stattfinden würde, nicht optimal, weil wenn die Bedingungen ausreichend für eine Präsenzteilnahme von allen an einer Exkursion, dann wird ein Format mit einer Präsenzkomponente für alle empfohlen.
74;exkurMittel;ja;Ausreichende Ressourcen sind vorhanden, damit alle Studierenden an einer Exkursion teilnehmen können.;1;Format bei dem eine Exkursion hybrid stattfinden würde;nicht sinnvoll;wenn die Bedingungen ausreichend für eine Präsenzteilnahme von allen an einer Exkursion, dann wird ein Format mit einer Präsenzkomponente für alle bevorzugt;1;hyb, onlhybwechs, hybrem, ringhyb2;-;-;-;-;-1;true;;Sie haben angegeben, dass ausreichende Ressourcen vorhanden sind, damit alle Studierenden an einer Exkursion teilnehmen können.;"Laut Ihren Angaben passt Szenario XYZ als Format bei dem eine Exkursion hybrid stattfinden würde, nicht optimal; wenn die Bedingungen ausreichend sind für eine Präsenzteilnahme von allen an einer Exkursion, dann wird ein Format mit einer Präsenzkomponente für alle bevorzugt."
75;intKoll;nein;Ihr Kurs ist kein Teil einer nationalen oder internationalen Kollaboration.;0;Lehrveranstaltung an zwei Standorten;ausgeschlossen;keine andere Anwendung für dieses Szenario;1;rem, hybrem;-;-;-;-;-100;true;;Sie haben angegeben, dass Ihr Kurs nicht Teil einer nationalen oder internationalen Kollaboration ist.;Laut Ihren Angaben passt Szenario XYZ als Lehrveranstaltung an zwei Standorten, nicht, weil keine andere Anwendung für dieses Szenario.
76;intKoll;ja;Ihr Kurs ist Teil einer nationalen oder internationalen Kollaboration.;0;Format, das keine synchrone online standortübergreifende Kommunikation erlaubt;ausgeschlossen;keine standortübergreifende Kollaboration kann geschehen, wenn der Kurs keine Online-Komponente hat;1;-;onl, onlhybwechs, onlpraeswechs, rem, hyb, hybrem, hybpraeswechs, ringonl, ringhyb2;-;-;-;-100;true;;Sie haben angegeben, dass Ihr Kurs Teil einer nationalen oder internationalen Kollaboration ist.;Laut Ihren Angaben passt Szenario XYZ als Format, das keine synchrone online standortübergreifende Kommunikation erlaubt, nicht, weil keine standortübergreifende Kollaboration kann geschehen, wenn der Kurs keine Online-Komponente hat.
