wert;name;text_overview;text_overviewAsyncTN;text_syncInt-0;text_syncInt-1;text_syncInt-2;text_asyncTN-0;text_asyncTN-1;text_asyncTN-2;text_asyncTN-3;text_asyncTN-4;text_asyncInt-0;text_asyncInt-1;text_asyncInt-2;text_technik;raum_syncInt-0;raum_syncInt-1;raum_syncInt-2;tips_general;tips_syncInt-0;tips_syncInt-1;tips_syncInt-2;tips_asyncTN-0;tips_asyncTN-1;tips_asyncTN-2;tips_asyncTN-3;tips_asyncTN-4;tips_asyncInt-0;tips_asyncInt-1;tips_asyncInt-2
pr-onl1;Remote-Lab-Modelle;<p>Remote-Labore umfassen Experimente, die über das Internet durchgeführt werden. Dabei kann entweder <b>in Echtzeit mit physischer Hardware</b> gearbeitet werden – das Interface überträgt die Messsignale direkt an den Computer der Lernenden – oder es kommt eine <b>Simulationssoftware</b> zum Einsatz. In beiden Fällen können Remote-Studierende — individuell oder in Breakout-Kleingruppen — Versuche planen und durchführen, Interviews oder Beobachtungen einbinden sowie Daten aufzeichnen, transkribieren und analysieren. So können auch komplexe praktische Tätigkeiten in Online- oder Hybridformaten sinnvoll umgesetzt werden. Zusätzlich bieten Remote-Labore eine hohe zeitliche und organisatorische Flexibilität. Sie ermöglichen ein gefahrloses Kennenlernen und Ausprobieren von experimentellen Abläufen sowie eine mehrfache Wiederholung und Optimierung der Arbeitsschritte.</p><p>Anzumerken ist, dass sich solche Laborformate <b>je nach Institution, Fachbereich und vorhandener Infrastruktur stark unterscheiden</b> und daher keine allgemeingültigen Hinweise geliefert werden können. Die nachstehenden Ausführungen sollen als Inspiration, Orientierung und Motivation dienen, sind aber individuell an die jeweiligen Begebenheiten vor Ort anzupassen.</p>;-;-;-;-;-;-;-;-;-;-;-;-;"<<HTML>><h4>Medientechnische Umsetzung</h4><h5>Umsetzungsbeispiel</h5>
<p>Am Institut für Mechatronische Systeme an der <b>Leibniz-Universität Hannover</b> erlauben <b>Remote Laboratories (ReLab)</b> Studierenden, reale Robotik-Experimente auf einem realen Versuchstand über das Internet durchzuführen. Studierende können über einen <b>automatisierten Kalender</b> Experimentierzeiten buchen, das Verhalten der Apparatur über einen <b>Videostream</b> steuern und beobachten sowie <b>Messdaten</b> zur weiteren Analyse herunterladen. Da Zeitslots fast jederzeit gebucht werden können, ermöglicht ReLab einer großen Anzahl von Studierenden im Rahmen von Vorlesungen, Seminaren und Laborkursen verschiedene Versuche durchzuführen, selbst wenn nur eine geringe Anzahl von Geräten zur Verfügung steht. Der <b>leichte Zugang zu realen Laborexperimenten</b> ist besonders wertvoll für die Ingenieurwissenschaften, wo Studierende sich genau mit der Anwendung komplexer theoretischer Modelle auf reale Systeme befassen.</p>
<a href='https://www.imes.uni-hannover.de/de/forschung/forschungsprojekte/projects/collaborative-remote-laboratory' target='_blank' title='Mehr Details zum Umsetzungsbeispiel'>Mehr Details</a><br>
<a href='https://www.youtube.com/watch?v=WrXfCMfUrUA' target='_blank' title='Video-Demo Remote-Labs'>Video-Demo (YouTube)</a>
<h5>Allgemeine technische Tipps</h5>
<p>Die folgenden Umsetzungstipps beziehen sich nicht auf das obengenannte Beispiel, sondern auf allgemeine Komponenten von Remote-Labs:</p>
<p id='fullImg' class='fullImg'><img src='images/descImg/remoteLab_de.PNG' alt='Schematik einer Remote-Lab Infrastruktur: ein*e Student*in sitzt zu Hause an einem Laptop, wo eine Schematik des Expertiments sowie Messdaten im Browser-Oberfläche sichtbar sind. Mithilfe der Cloud-Infrastruktur, die Authentifizierung, Buchung, und Experimentsteuerung übernimmt, wird das studentische Endgerät mit dem Labor verbunden, wo Server, Laborgeräte, Microcontroller, Kameras, usw. zu finden sind. Das Beispiel zeigt insbesondere ein Wasserstandsregelungsversuch.'/></p>
<ul class='spacedList'>
  <li>Eine <b>stabile Netzwerkinfrastruktur</b> im Laborraum ist unabdingbar für eine gelingende Umsetzung.</li>
  <li>Für die Fernsteuerung von Geräten empfiehlt sich eine Client-Server-Architektur, die über ein <b>Authentifizierungs-</b> und <b>Slot-Managementsystem</b> geregelt ist. Ein gutes Beispiel bietet hier die Infrastruktur <a href='https://www.goldi-labs.net/index.php?Site=2' target='_blank' title='Grid of Online Lab Devices Ilmenau'>Grid of Online Lab Devices Ilmenau (GOLDi)</a>.</li>
<li>Die technische Oberfläche der Remote Labs ist idealerweise so aufgebaut, dass <b>Steuerung, Videostreams und Messdaten</b> leicht zugänglich und in einem Browserfenster nutzbar sind.</li>
  <li>Sinnvoll sind <b>Steuerungsgeräte</b> wie Programmable Logic Controller (PLC), Mikrocontroller für Steuerung, Datenaufnahme und Schnittstellenverwaltung oder LabVIEW-gestützte Interfaces.</li>
  <li>Ergänzend können <b>Kameras</b> im Labor die Orientierung unterstützen, indem sie sowohl Gesamtansichten des Versuchsbereichs als auch Detailaufnahmen von Messgeräten und anderen relevanten Versuchsteilen bereitstellen.</li>
  <li>Für die regelmäßige <b>Kalibrierung und Wartung</b> können Hardwarekomponenten (Sensoren, Motoren usw.) in eine digitale Überwachungs- und Steuerungsinfrastruktur eingebunden sein, sodass Fehlermeldungen zentral erfasst und weitergeleitet werden.</li>
</ul>
<h5>Weitere Beispiele</h5>
<ul><li><a href='https://projekt.bht-berlin.de/mint-vr-labs/projekt-anwendungen' target=_blank' title='Projekt Mint-VR-Labs an der BHT'>MINT-VR-Labs an der Berliner Hochschule für Technik</a></li>
<li><a href='https://www.h-brs.de/de/remote-lab-info' target=_blank' title='Remote Labs Hochschule Bonn-Rhein-Sieg'>Remote Labs an der Hochschule Bonn-Rhein-Sieg</a></li></ul>";<<FULLIMG>>;<<FULLIMG>>;<<FULLIMG>>;toolsDatenschutz, privateEcke, wartezeitHyb, darstellungsformen, notHyFlex;chatiquetteHybLv1, moderationHybSimple;chatiquetteLv2, moderationHybSimple;chatiquetteLv2, moderationHybGr, gruppenarbHyb;zeitmanagementV3;zeitmanagementV2;zeitmanagementV1;zeitmanagementV1, woechCheckin;-;-;-;-
se-grwechshyb;Seminar mit Gruppenwechsel zwischen Online und Präsenz und einzelnen Online-Teilnehmenden;"In diesem Lehrformat findet das Seminar synchron in einem hybriden Setting statt. Die Studierenden nehmen abwechselnd online oder in Präsenz teil, wobei die Gruppen in einem festgelegten Rhythmus rotieren. Zusätzlich nehmen einzelne Studierende dauerhaft online teil, etwa aufgrund von Mobilitätseinschränkungen, Auslandsaufenthalten oder anderen individuellen Umständen. Die Lehrperson ist in der Regel vor Ort im Seminarraum anwesend und moderiert die Sitzungen. Technische Hilfsmittel wie Mikrofone, Kameras und digitale Tools unterstützen die gleichzeitige Kommunikation und Zusammenarbeit zwischen den Gruppen.
<br><br>
Dieses Format ermöglicht eine flexible Teilnahme und den gezielten Einsatz unterschiedlicher Lernsettings: Die rotierenden Gruppen sammeln Erfahrungen in Präsenz und Online-Lehre, während einzelne Studierende ortsunabhängig eingebunden werden können. Die gleichzeitige Durchführung in beiden Modi bietet außerdem die Möglichkeit, digitale Tools zur Kollaboration einzusetzen und hybride Kompetenzen zu fördern.
<br><br>
Die größte Herausforderung besteht (neben der technischen Umsetzung) in der Koordination der Gruppenwechsel (s. <a href='https://www.digitale-lehre.hu-berlin.de/de/konzeption-didaktik-digitaler-lehre/beispielkonzept-hybrides-szenario-a.png' target='_blank' title='Beispielkonzept Gruppenwechsel'>Beispielkonzept</a>) und der Sicherstellung einer gleichwertigen Lernerfahrung für beide Gruppen sowie für die dauerhaft online zugeschalteten Personen.";-;-;-;-;-;-;-;-;-;-;-;-;Seminarraum für 30 Personen / Raumgröße 80qm, Hybrides Seting für Webkonferenz (z.B. Zoom);https://sketchfab.com/models/ebced663cb3549f7b46a2d86a1a54755/embed;https://sketchfab.com/models/ebced663cb3549f7b46a2d86a1a54755/embed;https://sketchfab.com/models/f7a366a1aabb447d8b94bc181af5eb27/embed;toolsDatenschutz, privateEcke, wartezeitHyb, darstellungsformen, zugangGrwechs, hinweiseHyb;chatiquetteHybLv1, abwechselung, audienceResponseHyb;chatiquetteLv2, audienceResponseHyb, strukturKommHyb;chatiquetteLv2, strukturKommHyb, gruppenarbHyb;zeitmanagementV3;zeitmanagementV2;zeitmanagementV1;zeitmanagementV1, woechCheckin;-;-;-;reflexionHyb, videoIntro3
se-grwechs;Seminar mit Gruppenwechsel zwischen Online und Präsenz;"In diesem Lehrformat findet das Seminar synchron in einem hybriden Setting statt, bei dem Studierende abwechselnd online oder in Präsenz teilnehmen. Die Lehrperson ist in der Regel vor Ort im Seminarraum anwesend und moderiert die Veranstaltung. Inhalte und Aufgaben können sowohl in Präsenz- als auch in Online-Formaten behandelt werden, und die Wechsel der Gruppen erfolgen nach einem festgelegten Plan, der die Teilnahme für alle ausgewogen gestaltet. Technische Hilfsmittel wie Kameras, Mikrofone und digitale Tools wie Umfragen oder gemeinsame Dokumente unterstützen die Kommunikation und Zusammenarbeit zwischen den Gruppen.
<br><br>
Das Format eines Gruppenwechsels zwischen Online und Präsenz kann besonders hilfreich sein, wenn die Raumkapazität in irgendeiner Weise eingeschränkt ist (aufgrund der verfügbaren Ausrüstung oder, wie im Falle der COVID-Pandemie, aufgrund der sozialen Distanz). In anderen Fällen kann es für Studierende nützlich sein, die unterschiedliche Lernsettings erleben und reflektieren müssen (z. B. im Lehramtstudium). 
<br><br>
Die größte Herausforderung besteht (neben der technischen Umsetzung) in der Koordination der Gruppenwechsel (s. <a href='https://www.digitale-lehre.hu-berlin.de/de/konzeption-didaktik-digitaler-lehre/beispielkonzept-hybrides-szenario-a.png' target='_blank' title='Beispielkonzept Gruppenwechsel'>Beispielkonzept</a>) und der Sicherstellung einer gleichwertigen Lernerfahrung für beide Gruppen. Die Lehrperson muss darauf achten, dass die Inhalte und Aufgaben für die jeweiligen Formate (online und in Präsenz) geeignet sind und dass die Interaktion zwischen den Gruppen gefördert wird. ";-;-;-;-;-;-;-;-;-;-;-;-;Seminarraum für 30 Personen / Raumgröße 80qm, Hybrides Seting für Webkonferenz (z.B. Zoom);https://sketchfab.com/models/ebced663cb3549f7b46a2d86a1a54755/embed;https://sketchfab.com/models/ebced663cb3549f7b46a2d86a1a54755/embed;https://sketchfab.com/models/f7a366a1aabb447d8b94bc181af5eb27/embed;toolsDatenschutz, privateEcke, wartezeitHyb, darstellungsformen, zugangGrwechs, hinweiseHyb;chatiquetteHybLv1, abwechselung, audienceResponseHyb;chatiquetteLv2, audienceResponseHyb, strukturKommHyb;chatiquetteLv2, strukturKommHyb, gruppenarbHyb;zeitmanagementV3;zeitmanagementV2;zeitmanagementV1;zeitmanagementV1, woechCheckin;-;-;-;reflexionHyb, videoIntro3
se-onlpraeswechs;Online Seminar mit einzelnen Präsenzterminen ;"In diesem Lehrformat findet das Seminar überwiegend synchron online über eine Videokonferenz-Plattform statt, wobei einige Termine als Präsenzveranstaltungen abgehalten werden. Die Lehrperson moderiert sowohl die Online- als auch die Präsenzsitzungen und sorgt für einen einheitlichen Ablauf des Seminars. Die Präsenztermine werden gezielt genutzt, um Inhalte zu behandeln, die von persönlicher Interaktion profitieren, wie etwa Gruppenarbeiten, intensive Diskussionen oder praktische Übungen. Die Online-Termine dienen in der Regel der Vermittlung von theoretischen Inhalten, Diskussionen oder der Vorbereitung und Nachbereitung der Präsenzsitzungen.
<br><br>
Dieses Format bietet Studierenden die Flexibilität und Ortsunabhängigkeit eines Online-Seminars, während Komponenten des Kurses, die in Präsenz besser funktionieren, noch ermöglicht werden. Die gezielte Einbindung von Präsenzterminen fördert zudem den persönlichen Austausch zwischen Lehrperson und Studierenden sowie innerhalb der Gruppe, was das Gemeinschaftsgefühl und die Motivation stärken kann. 
<br><br>
Die feste Form der Teilnahme (teils online, teils vor-Ort) nimmt den Studierenden einen Teil der Flexibilität. Für die erfolgreiche Teilnahme müssen die Studierenden sowohl Zugang zu einer geeigneten Umgebung außerhalb des Lehrraums haben, um online an dem Seminar teilnehmen zu können, als auch in der Lage sein, bei Bedarf persönlich am Kurs teilzunehmen. ";-;-;-;-;-;-;-;-;-;-;-;-;Für die Präsenzsitzungen: Seminarraum für 30 Personen / Raumgröße 80qm;https://sketchfab.com/models/c68768d2b0b64bafbbca67e1cf582fb3/embed;https://sketchfab.com/models/c68768d2b0b64bafbbca67e1cf582fb3/embed;https://sketchfab.com/models/c68768d2b0b64bafbbca67e1cf582fb3/embed;toolsDatenschutz, wartezeitHyb, darstellungsformen, hinweiseOnl;chatiquetteOnlLv1, abwechselung, audienceResponseOnl;chatiquetteLv2, camAnAus, audienceResponseOnl, strukturKommPrOnl, diskFutter;gruppenarbPrOnl, chatiquetteLv2, camAnAus, strukturKommPrOnl, diskFutter;-;-;-;woechCheckin;-;-;-;reflexionHyb, videoIntro3
se-onlhybwechs;Online Seminar mit einzelnen hybriden Terminen ;"In diesem Lehrformat findet ein Seminar überwiegend synchron online über eine Videokonferenz-Plattform statt, wobei einige Sitzungen als hybride Termine abgehalten werden. Bei den hybriden Terminen nehmen die Lehrperson und ein Teil der Studierenden vor Ort in einem Seminarraum teil, während die übrigen Studierenden online zugeschaltet sind. Beide Studierendengruppen können einander sehen und miteinander interagieren. Die hybriden Termine werden gezielt genutzt, um Inhalte zu behandeln, die von einer direkten Interaktion in Präsenz profitieren. In Einzelfällen könnte die Lehrperson auch online zugeschaltet werden, indem eine andere Person als Moderator:in vor Ort eingesetzt wird.
<br><br>
Dieses Format kombiniert die Flexibilität eines überwiegend online stattfindenden Seminars mit der gezielten Durchführung mancher wichtigen Komponenten in Präsenz. Studierende, die nicht vor Ort kommen können, haben weiterhin Zugang zum Seminar, auch wenn sie auf einige Präsenzvorteile verzichten müssen. 
<br><br>
Die Mischung aus Online- und hybriden Sitzungen erfordert eine sorgfältige Planung der Inhalte, damit das Potenzial beider Formate optimal genutzt wird. Studentische Interaktion muss in einem Online-Seminar nicht nur technisch möglich sein, sondern die Lehrperson muss gezielt darauf achten, alle Teilnehmenden aktiv einzubeziehen, um ein erfolgreiches, dynamisches Seminarerlebnis zu gewährleisten. Dasselbe gilt für die Durchführung hybrider Seminartermine, bei denen eine „Kommunikation in zwei Räumen“ technisch und didaktisch noch herausfordernder sein kann.";-;-;-;-;-;-;-;-;-;-;-;-;Für die hybriden Sitzungen: Seminarraum für 30 Personen / Raumgröße 80qm, Hybrides Seting für Webkonferenz (z.B. Zoom);https://sketchfab.com/models/ebced663cb3549f7b46a2d86a1a54755/embed;https://sketchfab.com/models/ebced663cb3549f7b46a2d86a1a54755/embed;https://sketchfab.com/models/f7a366a1aabb447d8b94bc181af5eb27/embed;toolsDatenschutz, privateEcke, wartezeitHyb, darstellungsformen, hinweiseHyb, notHyFlex;chatiquetteHybLv1, moderationHybSimple, abwechselung, audienceResponseHyb;chatiquetteLv2, moderationHybSimple, camAnAus, audienceResponseHyb, strukturKommHyb, diskFutter;chatiquetteLv2, moderationHybGr, camAnAus, strukturKommHyb, diskFutter;zeitmanagementV3;zeitmanagementV2;zeitmanagementV1;zeitmanagementV1, woechCheckin;-;-;-;reflexionHyb, videoIntro3
se-praesonlwechs;Präsenzseminar mit einzelnen Online-Terminen;"In diesem Lehrformat findet das Seminar überwiegend in einem physischen Seminarraum statt, in dem die Lehrperson und alle Studierenden persönlich anwesend sind. Einzelne Termine werden jedoch synchron online über eine Videokonferenz-Plattform abgehalten, um besondere Anforderungen an Flexibilität zu berücksichtigen, wie z. B. die Verfügbarkeit externer Ressourcen, gelegentliche Abwesenheiten der Lehrperson oder die Möglichkeit, eine breitere Teilnehmergruppe zu erreichen. 
<br><br> 
Dieses Format ermöglicht die Vorteile eines klassischen Präsenzseminars, bei dem die persönliche Interaktion und der direkte Austausch im Vordergrund stehen, kombiniert mit der Flexibilität von Online-Terminen. Diese Online-Sitzungen können gezielt genutzt werden, um digitale Werkzeuge wie geteilte Dokumente, Umfragen oder Breakout-Räume einzusetzen, die das Seminar um interaktive Elemente erweitern.
<br><br> 
Eine Herausforderung besteht darin, sicherzustellen, dass die Online-Termine in das Gesamtkonzept des Seminars integriert sind und den Studierenden eine ebenso produktive Teilnahme ermöglichen wie die Präsenzsitzungen. Die feste Teilnahmeform (teils online, teils persönlich) schränkt außerdem die Flexibilität für Studierende ein, die ausschließlich online oder ausschließlich in Präsenz teilnehmen können. Erfolgreiche Teilnahme erfordert, dass die Studierenden sowohl Zugang zu einer geeigneten Umgebung für die Online-Teilnahme haben als auch in der Lage sind, die Präsenztermine wahrzunehmen. ";-;-;-;-;-;-;-;-;-;-;-;-;Für die Präsenzsitzungen: Seminarraum für 30 Personen / Raumgröße 80qm;https://sketchfab.com/models/c68768d2b0b64bafbbca67e1cf582fb3/embed;https://sketchfab.com/models/c68768d2b0b64bafbbca67e1cf582fb3/embed;https://sketchfab.com/models/c68768d2b0b64bafbbca67e1cf582fb3/embed;toolsDatenschutz, wartezeitHyb, darstellungsformen, hinweiseOnl;chatiquetteOnlLv1, abwechselung, audienceResponsePr;chatiquetteLv2, camAnAus, audienceResponsePr, strukturKommPrOnl;gruppenarbPrOnl, chatiquetteLv2, camAnAus, strukturKommPrOnl;-;-;-;woechCheckin;-;-;-;reflexionHyb, videoIntro3
se-praeshybwechs;Präsenzseminar mit einzelnen hybriden Terminen;"In diesem Lehrformat findet das Seminar überwiegend in einem physischen Seminarraum statt, in dem die Lehrperson und alle Studierenden persönlich anwesend sind. Einzelne Sitzungen werden jedoch als hybride Termine durchgeführt, bei denen ein Teil der Studierenden online über eine Videokonferenz-Plattform zugeschaltet ist. Die hybriden Termine werden gezielt genutzt, um Inhalte zu behandeln, die eine flexiblere Teilnahme ermöglichen, wie etwa die Integration externer Gäste oder besondere organisatorische Anforderungen. In Ausnahmefällen könnte die Lehrperson selbst online zugeschaltet werden, indem eine andere Person als Moderator:in vor Ort eingesetzt wird.
<br><br> 
Dieses Format kombiniert die Vorteile eines Präsenzseminars, bei dem die persönliche Interaktion und der direkte Austausch im Vordergrund stehen, mit der Flexibilität hybrider Lehre. Die hybriden Sitzungen bieten eine zusätzliche Möglichkeit, ortsunabhängig teilzunehmen, was besonders nützlich ist, wenn einzelne Studierende nicht vor Ort sein können oder externe Gäste eingebunden werden sollen.
<br><br> 
Die Mischung aus Präsenz- und hybriden Sitzungen erfordert eine sorgfältige Planung. Hybride Termine stellen technische und didaktische Herausforderungen dar, damit Studierenden gleichermaßen aktiv eingebunden werden. Bei den Präsenzsitzungen hat die Beschränkung auf einen festen Ort und eine feste Zeit den Nachteil, dlass die Teilnahme für Studierende mit einem engen Zeitplan oder besonderen Anforderungen weniger flexibel ist.";-;-;-;-;-;-;-;-;-;-;-;-;Seminarraum für 30 Personen / Raumgröße 80qm, Hybrides Seting für Webkonferenz (z.B. Zoom);https://sketchfab.com/models/ebced663cb3549f7b46a2d86a1a54755/embed;https://sketchfab.com/models/ebced663cb3549f7b46a2d86a1a54755/embed;https://sketchfab.com/models/f7a366a1aabb447d8b94bc181af5eb27/embed;toolsDatenschutz, privateEcke, wartezeitHyb, darstellungsformen, hinweiseHyb, notHyFlex;chatiquetteHybLv1, moderationHybSimple, abwechselung, audienceResponseHyb;chatiquetteLv2, moderationHybSimple, audienceResponseHyb, strukturKommHyb, diskFutter;chatiquetteLv2, moderationHybGr, strukturKommHyb, diskFutter;zeitmanagementV3;zeitmanagementV2;zeitmanagementV1;zeitmanagementV1, woechCheckin;-;-;-;reflexionHyb, videoIntro3
se-hybpraeswechs;Synchron-hybrides Seminar mit einzelnen Präsenzterminen;"In diesem Lehrformat findet das Seminar überwiegend synchron in einem hybriden Setting statt: Die Lehrperson und ein Teil der Studierenden nehmen vor Ort in einem Seminarraum teil, während andere Studierende online über eine Videokonferenz-Plattform zugeschaltet sind. Zusätzlich gibt es einzelne Termine, die ausschließlich in Präsenz abgehalten werden. In den hybriden Sitzungen können beide Studierendengruppen (vor Ort und online) einander sehen und miteinander interagieren, obwohl der Umfang und die Art der Interaktion sich variieren können.  In Ausnahmefällen kann die Lehrperson selbst online zugeschaltet werden, wobei eine andere Person vor Ort die Moderation übernimmt.
<br><br>
Dieses Format kombiniert die Flexibilitätsvorteile der hybriden Lehre, während die Vorteile der Präsenzlehre beibehalten werden. Die hybriden Sitzungen ermöglichen eine flexible Teilnahme (oder auch die Möglichkeit, gelegentlich externe Lehrende oder Studierendengruppen einzubinden), während die Präsenztermine gezielt genutzt werden, um Inhalte zu behandeln, die von direkter Interaktion und persönlichem Austausch profitieren, wie etwa intensive Diskussionen, praktische Übungen, oder auch das erste Kennenlernen.
<br><br>
Technische Hürden wie die Integration von Online-Teilnehmenden in die hybriden Sitzungen sowie die Organisation der Präsenztermine erfordern sorgfältige Planung, so dass alle Studierenden gleichwertig am Seminar teilnehmen können und keine Gruppe sich benachteiligt fühlt. Ein Nachteil dieses Formats ist, dass es Studierende ausschließt, die die Präsenztermine nicht wahrnehmen können (aufgrund ihres Wohnorts, Mobilitätseinschränkungen oder des Kursplans vor oder nach dem Seminar).";-;-;-;-;-;-;-;-;-;-;-;-;Seminarraum für 30 Personen / Raumgröße 80qm, Hybrides Seting für Webkonferenz (z.B. Zoom);https://sketchfab.com/models/ebced663cb3549f7b46a2d86a1a54755/embed;https://sketchfab.com/models/ebced663cb3549f7b46a2d86a1a54755/embed;https://sketchfab.com/models/f7a366a1aabb447d8b94bc181af5eb27/embed;toolsDatenschutz, privateEcke, wartezeitHyb, darstellungsformen, hinweiseHyb, notHyFlex;chatiquetteHybLv1, moderationHybSimple, abwechselung, audienceResponseHyb;chatiquetteLv2, moderationHybSimple, audienceResponseHyb, strukturKommHyb, diskFutter;chatiquetteLv2, moderationHybGr, strukturKommHyb, diskFutter;zeitmanagementV3;zeitmanagementV2;zeitmanagementV1;zeitmanagementV1, woechCheckin;-;-;-;reflexionHyb, videoIntro3
vl-onlpraeswechs;Online-Vorlesung mit einzelnen Präsenzterminen ;"In diesem Lehrformat findet die Vorlesung überwiegend synchron online über eine Videokonferenz-Plattform statt, wobei einige Termine als Präsenzveranstaltungen abgehalten werden. Die Lehrperson gestaltet sowohl die Online- als auch die Präsenztermine und sorgt für eine inhaltliche und methodische Abstimmung der beiden Formate. Die Präsenztermine werden gezielt genutzt, um Themen zu vertiefen, die von direkter Interaktion oder persönlichen Erklärungen profitieren, wie etwa komplexe Diskussionen, Gruppenaktivitäten oder praxisorientierte Inhalte. Die Online-Termine dienen der Vermittlung theoretischer Inhalte, der Vorbereitung und Nachbereitung der Präsenzveranstaltungen oder der Durchführung von interaktiven, digitalen Aufgaben.
<br><br>
Dieses Format bietet Studierenden die Flexibilität und Ortsunabhängigkeit einer Online-Vorlesung, während ausgewählte Inhalte, die in Präsenz besser funktionieren, gezielt eingebunden werden können. Die Präsenztermine ermöglichen direkten Austausch und fördern die Interaktion zwischen Lehrperson und Studierenden sowie innerhalb der Gruppe. Sie bieten zudem eine Gelegenheit, die Vorteile der persönlichen Lernumgebung zu nutzen, wie etwa intensives Arbeiten an bestimmten Themen oder praktische Anwendungen.
<br><br>
Die feste Teilnahmeform (teils online, teils persönlich) schränkt die Flexibilität für Studierende ein, die ausschließlich online oder ausschließlich in Präsenz teilnehmen möchten oder können. Erfolgreiche Teilnahme erfordert, dass die Studierenden sowohl Zugang zu einer geeigneten Umgebung für die Online-Teilnahme haben als auch in der Lage sind, die Präsenztermine wahrzunehmen. ";-;-;-;-;-;-;-;-;-;-;-;-;Für die Präsenzsitzungen: Hörsaal für ca. 300 Personen;https://sketchfab.com/models/ac037cc56b3640fa94ada4c771c459f3/embed;https://sketchfab.com/models/ac037cc56b3640fa94ada4c771c459f3/embed;https://sketchfab.com/models/ac037cc56b3640fa94ada4c771c459f3/embed;toolsDatenschutz, wartezeitHyb, darstellungsformen, hinweiseOnl;chatiquetteOnlLv1, abwechselung, audienceResponsePr;chatiquetteLv2, camAnAus, audienceResponsePr, strukturKommPrOnl, diskFutter;gruppenarbPrOnl, chatiquetteLv2, camAnAus, strukturKommPrOnl, diskFutter;-;-;-;woechCheckin;-;-;-;reflexionHyb
vl-onlhybwechs;Online-Vorlesung mit einzelnen hybriden Terminen ;"In diesem Lehrformat findet eine Vorlesung überwiegend synchron online über eine Videokonferenz-Plattform statt, wobei einige Sitzungen als hybride Termine abgehalten werden. Bei den hybriden Terminen sind die Lehrperson und ein Teil der Studierenden vor Ort in einem Hörsaal anwesend, während andere Studierende online zugeschaltet sind. Die hybriden Termine werden gezielt genutzt, um Inhalte zu vermitteln, die von einer direkten Interaktion in Präsenz profitieren. In Ausnahmefällen kann die Lehrperson selbst online zugeschaltet werden, wobei eine andere Person vor Ort die Moderation übernimmt.
<br><br>
Dieses Format kombiniert die Flexibilität einer überwiegend online durchgeführten Vorlesung mit der gezielten Einbindung hybrider Termine, die sowohl die Vorteile der Präsenzlehre als auch die ortsunabhängige Teilnahme ermöglichen. Für Studierende, die nicht vor Ort teilnehmen können, bietet das hybride Format weiterhin Zugang zu den Vorlesungsinhalten, obwohl sie auf einige Vorteile der Präsenz verzichten müssen.
<br><br>
Die Mischung aus Online- und hybriden Sitzungen erfordert eine sorgfältige Planung der Inhalte, damit das Potenzial beider Formate optimal genutzt wird. Studentische Interaktion muss in einem Online-Seminar nicht nur technisch möglich sein, sondern die Lehrperson muss gezielt darauf achten, alle Teilnehmenden aktiv einzubeziehen, um den Lernprozess zu fördern. Dasselbe gilt für die Durchführung hybrider Seminartermine, bei denen eine „Kommunikation in zwei Räumen“ technisch und didaktisch noch herausfordernder sein kann.";-;-;-;-;-;-;-;-;-;-;-;-;Für die hybriden Sitzungen: Hörsaal für ca. 300 Personen, Hybrides Seting für Webkonferenz (z.B. Zoom);https://sketchfab.com/models/1bd709eb6c244e28ab8b2b6c9a4749d0/embed;https://sketchfab.com/models/1bd709eb6c244e28ab8b2b6c9a4749d0/embed;https://sketchfab.com/models/1bd709eb6c244e28ab8b2b6c9a4749d0/embed;toolsDatenschutz, privateEcke, wartezeitHyb, darstellungsformen, hinweiseHyb, notHyFlex;chatiquetteOnlLv1, abwechselung;chatiquetteLv2, moderationHybSimple, camAnAus, audienceResponseHyb, diskFutter;chatiquetteLv2, camAnAus, strukturKommPrOnl, diskFutter;zeitmanagementV3;zeitmanagementV2;zeitmanagementV1;zeitmanagementV1, woechCheckin;-;-;-;reflexionHyb
